individual_id,state,gross,county,Lake_name,code,NAD_83_Zone,Easting,Northing,year_stocked,date_sampled,area-hectares,depth-meters,max_depth_meters,elevation-meters_above_sea_level,cond-microSiemens,secchi-meters,turbidity-Nephelometric_Turbidity_Units,min_Dissolved_Oxygen_on_bottom-mg_per_L,mean_august_surface_temp_C,num_yrs_Aug_temp,mysis_detected,number_stocking_events,stocked,connected_to_stocked_lake
C_1,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_2,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_3,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_4,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_5,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_6,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_7,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_8,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_9,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_10,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_11,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_12,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_13,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_14,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_15,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_16,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_17,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_18,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_19,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
C_20,CO,0,Larimer,Carter,CAR,13T,481262,4462786,NA,8/17/2014,449,54.9,54.9,1757,72.4,3.1,1.7,5.7,21.5,27,Y,0,N,Y
CLER_1,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_2,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_3,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_4,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_5,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_6,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_7,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_8,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_9,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_12,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_13,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_14,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_15,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_16,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_17,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_18,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_19,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_20,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_21,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_22,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_23,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_24,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
CLER_25,MI,0,Cook,Clear_Water,CLER,15T,696005,5328008,NA,8/31/2016,,,39.6,507,,,,,,,,,,
D_1,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_2,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_3,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_4,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_5,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_6,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_7,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_8,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_9,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_10,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_11,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_12,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
D_13,CO,0,Summit,Dillon,DIL,13S,409426,4386202,1970,8/24/2017,"1,276",73.1,57.3,2804,212,3.1,1.3,6.4,16.4,18,Y,2,Y,
